problem,best known,LCQP,IPOPT Penalty
bard1,17,25,0
bard1m,17,25,0
bard2,6598,6598,6600
bilevel2,-6600,-6600,-6600
bilevel2m,-6600,-6600,-6600
ex9_2_1,17,25,17
ex9_2_2,100,99.9746,99.9998
ex9_2_4,0.5,0.5,0.5
ex9_2_5,5,9,9
ex9_2_6,-1,-1,-1
ex9_2_7,17,25,17
flp2,0,5.0487e-29,5.0487e-29
flp4_1,0,7.3309e-27,-5.1613e-15
flp4_2,0,0,-1.0323e-14
flp4_3,0,6.8142e-28,-1.2043e-14
flp4_4,0,6.9929e-27,-1.7204e-14
gauvin,20,20,1.0256e-35
hs044_i,15.6178,15.6105,2.5048e-27
jr1,0.5,0.5,0.5
jr2,0.5,0.5,0.5
kth2,0,2.221e-16,-1.7205e-16
kth3,0.5,0.5,0.5
liswet1_050,0.01399,0.0075987,0.0075987
liswet1_100,0.01373,0.0070043,0.0070043
liswet1_200,0.01701,0.0085893,0.0085893
nash1a,7.8886e-30,1.9722e-30,0
nash1b,7.8886e-30,1.9722e-30,0
nash1c,7.8886e-30,1.9722e-30,0
nash1d,7.8886e-30,1.9722e-30,0
nash1e,7.8886e-30,1.9722e-30,0
portfl1,1.502e-05,0.00093927,0.00093927
portfl2,1.457e-05,0.0032541,0.0032541
portfl3,6.265e-06,0.0026509,0.0026509
portfl4,2.177e-06,0.0044383,0.0044383
portfl6,2.361e-06,0.002237,0.002237
qpec1,80,80,80
qpec2,45,44.9847,44.999
scholtes3,0.5,0.5,0.5
sl1,0.0001,0.0001,3.0429e-17
