problem,LCQPow qpOASES,LCQPow OSQP,Gurobi,IPOPT Pen,SNOPT,MINOS
bard1,0.00036504,-,0.011344,0.34887,0.001943,0.001732
bard1m,0.0001683,0.0019583,0.006233,0.37596,0.00145,0.00145
bard2,0.00032024,0.00017168,0.0080538,0.17507,0.001661,0.001498
bilevel2,0.00058203,0.000805,0.003263,0.25689,0.001558,0.001853
bilevel2m,0.0004238,0.00092467,0.0030289,0.34953,0.002066,0.001751
ex9_2_1,0.00019952,-,0.0034611,0.37052,0.00145,0.001731
ex9_2_2,-,-,0.0024168,-,0.001518,0.001309
ex9_2_4,0.00021253,0.00030464,0.00098801,0.52593,0.001414,0.00143
ex9_2_5,0.00028076,0.00071832,0.0033801,0.74143,0.001558,0.001781
ex9_2_6,0.00029731,0.001741,0.010128,0.72921,0.001512,0.001467
ex9_2_7,0.00020538,-,0.0034282,0.28577,0.001484,0.001297
flp2,8.3671e-05,0.00036835,0.0022328,0.07534,0.00147,0.001443
flp4_1,0.010796,0.0023282,0.024045,0.027422,0.001849,-
flp4_2,0.071686,0.0056086,0.034907,0.051995,0.002515,-
flp4_3,0.085625,0.01098,0.039753,0.1672,0.003072,-
flp4_4,0.20003,0.027026,0.06187,0.1272,0.005108,-
gauvin,0.00015249,0.00040964,0.010145,0.24059,0.001322,0.001429
hs044_i,0.00052921,-,-,0.87264,0.001422,0.001486
jr1,9.2751e-05,7.2219e-05,0.0053389,0.032104,0.001471,0.001274
jr2,0.00013915,0.00028454,0.00366,0.19632,0.001453,0.001276
kth2,6.6035e-05,7.9796e-05,0.0011189,0.024499,0.001434,0.001263
kth3,0.0001299,0.00022618,0.0025759,0.15755,0.001359,0.001367
liswet1_050,0.076723,0.048549,0.016308,0.28054,0.005704,0.004043
liswet1_100,0.65093,-,0.016176,0.2116,-,-
liswet1_200,6.6098,-,0.017923,0.34712,-,-
nash1a,0.0001034,-,0.0082722,0.066348,0.001452,0.001416
nash1b,9.5365e-05,0.0049179,0.0024481,0.075158,0.001485,0.001495
nash1c,0.00010383,0.0031412,0.0061262,0.04753,0.001522,0.00131
nash1d,9.3712e-05,0.0047827,0.006089,0.049666,0.001475,0.001432
nash1e,9.3307e-05,0.0072756,0.0023499,0.054333,0.001498,0.001451
portfl1,0.0085162,0.0052367,0.0049689,0.52472,0.002827,0.003924
portfl2,0.0088554,0.0054575,0.005924,0.60374,0.003006,0.00451
portfl3,0.0083383,0.0057677,0.004879,0.61397,0.002703,0.003806
portfl4,0.0084436,0.0047883,0.0057452,0.63359,0.002607,0.004401
portfl6,0.0093239,0.0055633,0.005065,0.57959,0.002952,0.005443
qpec1,0.00030496,0.00019884,0.0058739,0.021653,0.001649,0.001728
qpec2,-,-,0.007175,-,0.001756,0.001677
scholtes3,0.00018141,0.00023273,0.0048041,0.60568,0.001535,0.001477
sl1,0.00012861,0.0011458,0.003057,0.18943,0.001567,0.001331
