problem,best known,LCQPow qpOASES,LCQPow OSQP,Gurobi,IPOPT penalty,IPOPT smoothed,IPOPT relaxed,IPOPT NLP
bard1,17,25,-,17,17,17,25,17
bard1m,17,25,-,17,17,17,25,17
bard2,6598,-6598,-6598,-6598,-6598,-6597.9662,-6598,-6598
bilevel2,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600
bilevel2m,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600
ex9_2_1,17,25,-,17,17,17,25,17
ex9_2_2,100,99.9969,99.9969,100,99.9969,99.9982,99.9982,99.9994
ex9_2_4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ex9_2_5,5,9,9,5,9,5,9,9.8
ex9_2_6,-1,-1,-1,-1,-1,-0.99994,-1,-1
ex9_2_7,17,25,-,17,17,17,25,17
flp2,0,2.3426e-12,2.3426e-12,2.3426e-12,2.3426e-12,8.8692e-12,2.3426e-12,7.5963e-12
flp4_1,0,-1.5547e-15,-1.5547e-15,0,-2.7e-09,7.0217e-06,-2.7e-09,-2.7004e-09
flp4_2,0,-2.223e-16,-1.1105e-15,0,-5.4e-09,6.3198e-06,-5.4e-09,-5.4006e-09
flp4_3,0,1.5547e-15,1.5547e-15,0,-6.3e-09,7.9047e-06,-6.2998e-09,-6.3007e-09
flp4_4,0,6.6608e-16,-2.221e-15,0,-9e-09,1.1783e-05,-9e-09,-9.0007e-09
gauvin,20,20,20,20,20,325,20,20
hs044_i,15.6178,6.25e-06,-,6.25e-06,6.25e-06,15.6105,6.25e-06,15.6105
jr1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
jr2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
kth2,0,-2.221e-16,-2.221e-16,0,-9e-11,1e-07,-9e-11,-8.72e-11
kth3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
liswet1_050,0.01399,0.013994,0.013994,0.013994,0.013994,0.12977,0.013994,0.013994
liswet1_100,0.01373,0.013734,-,0.013734,0.013734,0.23994,0.013734,0.013734
liswet1_200,0.01701,0.017009,-,0.033783,0.017008,0.47482,0.017008,0.017008
nash1a,7.8886e-30,5.1958e-12,5.1958e-12,4.7073e-12,1.2718e-11,4.7073e-12,5.5855e-12,4.7073e-12
nash1b,7.8886e-30,5.1958e-12,5.1958e-12,4.7073e-12,1.2521e-11,4.7073e-12,5.5855e-12,4.7073e-12
nash1c,7.8886e-30,5.1958e-12,5.1958e-12,4.7073e-12,1.25e-11,4.7073e-12,5.5855e-12,4.7073e-12
nash1d,7.8886e-30,5.1958e-12,5.1958e-12,4.7073e-12,1.2732e-11,4.7073e-12,5.5855e-12,4.7073e-12
nash1e,7.8886e-30,5.1958e-12,5.1958e-12,4.7073e-12,5.5549e-12,4.7073e-12,5.5855e-12,4.7073e-12
portfl1,1.502e-05,0.020437,0.020437,0.020404,0.020437,0.020562,0.020435,0.020437
portfl2,1.457e-05,0.027815,0.027815,0.027914,0.027815,0.029687,0.027813,0.027815
portfl3,6.265e-06,0.022825,0.022721,0.023141,0.022721,0.022725,0.022718,0.022825
portfl4,2.177e-06,0.020492,0.020492,0.02212,0.020492,0.020586,0.020491,0.020492
portfl6,2.361e-06,0.024003,0.024003,0.21634,0.024003,0.024568,0.024001,0.024003
qpec1,80,80,80,80,80,80.0127,80,80
qpec2,45,44.9926,44.9926,45,44.9702,44.9874,44.9873,44.9986
scholtes3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9998
sl1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001001,0.0001,0.0001
